logic gate,method,encoding,max_number_of_iterations_to_converge
AND,cg-exhaustive_search,amplitude,502
AND,cg-exhaustive_search,phase,641
AND,genetic_algorithm,amplitude,20
AND,genetic_algorithm,phase,60
AND,gradient_descent,amplitude,15
AND,gradient_descent,phase,261
AND,random_search,amplitude,28
AND,random_search,phase,60
AND,simulated_annealing,amplitude,69
AND,simulated_annealing,phase,958
OR,cg-exhaustive_search,amplitude,60
OR,cg-exhaustive_search,phase,60
OR,genetic_algorithm,amplitude,60
OR,genetic_algorithm,phase,60
OR,gradient_descent,amplitude,60
OR,gradient_descent,phase,60
OR,random_search,amplitude,60
OR,random_search,phase,60
OR,simulated_annealing,amplitude,60
OR,simulated_annealing,phase,60
XOR,cg-exhaustive_search,amplitude,60
XOR,cg-exhaustive_search,phase,60
XOR,genetic_algorithm,amplitude,60
XOR,genetic_algorithm,phase,60
XOR,gradient_descent,amplitude,60
XOR,gradient_descent,phase,60
XOR,random_search,amplitude,60
XOR,random_search,phase,60
XOR,simulated_annealing,amplitude,60
XOR,simulated_annealing,phase,60